district,district_alt,district_id,school,school_id,type,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,type_special,lat,lon
Richland School District Two,Richland 02,4002999,Dent Middle School,4002072,M,2721 Decker Blvd.,Columbia,SC,29206,6-8,1196,8036992750,www.richland2.org/dm,Tamala Ashford,91,,no_result,no_result
Richland School District Two,Richland 02,4002999,L.W. Conder Elementary Arts Integrated Magnet School,4002073,E,8040 Hunt Club Road,Columbia,SC,29223,PK-5,523,803-736-8720,https://www.richland2.org/LWCE,Paula China,48,,no_result,no_result
Richland School District Two,Richland 02,4002999,Forest Lake Elementary,4002074,E,6801 Brookfield Road,Columbia,SC,29206,PK-5,603,803-782-0470,https://www.richland2.org/fle,Dr. Kappy Steck,48,,no_result,no_result
Richland School District Two,Richland 02,4002999,Joseph Keels Elementary,4002075,E,7500 Springcrest Drive,Columbia,SC,29223,PK-5,436,803-736-8754,www.richland2.org/jke,Alvera C. Butler,42,,34.0770959,-80.95592936253128
Richland School District Two,Richland 02,4002999,Lonnie B. Nelson Elementary School,4002076,E,225 North Brickyard Road,"Columbia, SC",SC,29223,PK-5,556,803-736-8730,https://www.richland2.org/NE,Dr. Twanisha R. Garner,41,,34.1132803,-80.90049366484327
Richland School District Two,Richland 02,4002999,Windsor Elementary,4002077,E,9800 Dunbarton Dr,Columbia,SC,0,PK-5,536,8037368723,https://www.richland2.org/we,Denise Quickel,49,,no_result,no_result
Richland School District Two,Richland 02,4002999,E. L. Wright Middle School,4002078,E,2740 Alpine Road ,Columbia,SC,29223,K-8,1375,(803) 736-8740,https://www.richland2.org/elwm ,Malinda Taylor,91,,34.0836939,-80.92679217981735
Richland School District Two,Richland 02,4002999,Richland Northeast High School,4002079,H,7500 Brookfield Road,Columbia,SC,29223,9-12,1394,803-699-2800,richland2.org/RNH,Mark Sims,92,,no_result,no_result
Richland School District Two,Richland 02,4002999,North Springs Elementary,4002080,E,1300 Clemson Road,Columbia,SC,29229,PK-5,656,803-736-3183,https://www.richland2.org/nse,Rashad Adams,52,,34.14155925,-80.88626596564521
Richland School District Two,Richland 02,4002999,Pontiac Elementary School,4002081,E,500 Spears Creek Church Road,Elgin,SC,29045,PK-5,649,803-699-2700,https://www.richland2.org/pe,Katie Barber,50,,no_result,no_result
Richland School District Two,Richland 02,4002999,Summit Parkway Middle School,4002082,E,200 Summit Parkway,Columbia,SC,29229,K-8,1137,8036993580,https://www.richland2.org/spm,April Shell,76,,no_result,no_result
Richland School District Two,Richland 02,4002999,Rice Creek Elementary,4002083,E,4751 Hard Scrabble Road,Columbia,SC,29229,PK-5,718,803-699-2900,www.richland2.org/rce,Stacey Gadson,54,,34.15942555,-80.91172524163655
Richland School District Two,Richland 02,4002999,Ridge View High School,4002084,H,4801 Hard Scrabble Road,Columbia,SC,29229,9-12,1654,803-699-2999,www.richland2.org/rvh,"Brenda Mack-Foxworth, Ed.D.",94,,34.1635584,-80.91128461782554
Richland School District Two,Richland 02,4002999,Blythewood Middle School,4002085,M,2351 Longtown Road East,Blythewood,SC,29016,6-8,849,803-691-6850,www.richland2.org/BM,Karis M. Mazyck,54,,34.193715749999996,-80.93344094080751
Richland School District Two,Richland 02,4002999,Killian Elementary Steam Leaders Magnet,4002086,E,2621 Clemson Rd,Columbia,SC,29229,PK-5,672,803.699.2981,www. richland2.org/ke,Stacey M. Franklin,50,,34.1138151,-80.8492706
Richland School District Two,Richland 02,4002999,Bookman Road Elementary,4002087,E,1245 Bookman Rd,Elgin,SC,29045,PK-5,484,803-699-1724,www.richland2.org/bre,Dr. Kendra Hill,43,,34.15538735,-80.84818428246041
Richland School District Two,Richland 02,4002999,Round Top Elementary,4002090,E,449 Rimer Pond Rd,449 Rimer Pond Rd,SC,0,PK-5,632,8035184896,,Jeaneen Tucker,40,,no_result,no_result
Richland School District Two,Richland 02,4002999,Kelly Mill Med Pro Middle School,4002091,E,1141 Kelly Mill Road,Blythewood,SC,29016,2-8,1066,8036917210,https://www.richland2.org/kmm,Dr. Richard Griffin,75,,34.18847555,-80.88872320477822
Richland School District Two,Richland 02,4002999,Blythewood High School,4002092,H,10901 Wilson Blvd.,Blythewood,SC,29016,9-12,1858,803-691-4090,https://www.richland2.org/bh/,Matthew Sherman,129,,34.20808014563033,-80.97462597515931
Richland School District Two,Richland 02,4002999,Sandlapper Elementary,4002093,E,1001 Longtown Road,Columbia,SC,29229,PK-5,631,803-691-4045,https://www.richland2.org/Schools/Elementary -Schools/Sandlapper ,Connie May,46,,no_result,no_result
Richland School District Two,Richland 02,4002999,Polo Road Elementary School,4002094,E,1250 Polo Road,Columbia,SC,29223,PK-5,595,8034192226,https://www.richland2.org/pre/,Dr. Cassandra Bosier,55,,34.074409200000005,-80.90973413637275
Richland School District Two,Richland 02,4002999,Longleaf Middle School,4002095,M,1160 Longreen Parkway,Columbia,SC,29229,6-8,922,803-691-4870,https://www.richland2.org/LM/,Teresa P. Boyd,63,,no_result,no_result
Richland School District Two,Richland 02,4002999,Bridge Creek Elementary,4002096,E,121 Bombing Range Road,Elgin,SC,29045,PK-5,579,803-462-3900,www.richland2.org/bce,Kristen Eubanks,43,,34.1658281,-80.85967103990212
Richland School District Two,Richland 02,4002999,Langford Elementary,4002097,E,480 Langford Road,Blythewood,SC,29016,PK-5,495,803-691-4091,richland2.org/le,Kaseena Jackson,36,,34.204293,-80.9495577
Richland School District Two,Richland 02,4002999,Muller Road Middle School,4002098,E,1031 Muller Road ,Blythewood,SC,29016,K-8,1154,803-691-6851,www.richland2.org/mrm,Sean Bishton,69,,no_result,no_result
Richland School District Two,Richland 02,4002999,Westwood High School,4002100,H,180 Turkey Farm Road,Blythewood,SC,29016,9-12,1512,803-691-4049,www.richland2.org/wh,Robert S. Jackson,86,,34.1686052,-80.98007763989415
Richland School District Two,Richland 02,4002999,Catawba Trail Elementary,4002101,E,1080 Old National Highway,"Elgin, SC",SC,29045,PK-5,528,803-699-3501,www.richland2.org/cte,Jennifer B. Gillespie,42,,no_result,no_result
Richland School District Two,Richland 02,4002999,Lake Carolina Elementary Upper Campus,4002102,E,1261 Kelly Mill Road,Blythewood,SC,29016,3-5,461,803-691-3360,https://www.richland2.org/lceu,Jeff Williams,34,,34.1929279,-80.89583476259162
Richland School District Two,Richland 02,4002999,Jackson Creek Elementary,4002103,E,7150 Trenholm Road Ext.,Columbia,SC,29229,PK-5,531,803-790-3800,www.richland2.org/JCE,Dr. Sabina Mosso-Taylor,54,,no_result,no_result
Richland School District Two,Richland 02,4002999,Richland Two Charter High,4002600,H,7900 Brookmont Lane,Columbia,SC,29203,9-12,39,(803)419-1348,https://www.richland2.org/Schools/Richland-Two -Charter-School,Dr. Perry D. Mills Sr.,1,,no_result,no_result
Saluda,Saluda 01,4101999,Saluda High School,4101003,H,160 Ivory Key,Saluda,SC,29138,9-12,582,864-445-3011,www.saludaschools.org,Robert Etheredge,37,,34.0073061,-81.7232341
Saluda,Saluda 01,4101999,Saluda Middle School,4101005,M,140 Ivory Key Road,Saluda,SC,29138,6-8,531,864-445-3767,https://sms.saludaschools.org/,Christopher L. Seay,36,,34.0073061,-81.7232341
Saluda,Saluda 01,4101999,Saluda Elementary School,4101006,E,400 West Butler Avenue,Saluda,SC,29138,3-5,326,864-445-2564,https://ses.saludaschools.org/,Marcie Enlow,25,,34.003283,-81.777805
Saluda,Saluda 01,4101999,Hollywood Elementary School,4101010,E,1261 Hollywood Road,Saluda,SC,29138,PK-5,443,864-445-8333,https://hes.saludaschools.org/,Jennifer Thomas,28,,34.09052880769231,-81.67105588461538
Spartanburg School District One,Spartanburg 01,4201999,Chapman High School,4201002,H,1420 Compton Bridge Road,Inman,SC,29349,9-12,962,864-472-2836,https://www.spart1.org/chapmanhigh_home.aspx,Dr. Andrew C. McMillan,59,,35.0629446,-82.10127909781241
Spartanburg School District One,Spartanburg 01,4201999,Landrum High School,4201003,H,18818 ASHEVILLE HWY,Campobello,SC,29322,9-12,592,864-457-2606,https://www.spart1.org/landrumhigh_home.aspx,Kegan Flynn,42,,35.139670300000006,-82.16387427791227
Spartanburg School District One,Spartanburg 01,4201999,T.E. Mabry Middle,4201004,M,35 Oakland Ave.,Inman,SC,29349,7-8,511,864-472-8402,http://www.spart1.org/mabrymiddle_home.aspx,Ty Dawkins,33,,35.049605,-82.09886106094203
Spartanburg School District One,Spartanburg 01,4201999,Campobello-Gramling School,4201006,E,250 Fagan Ave.,Campobello,SC,29322,PK-8,752,864-472-9110,http://www.spart1.org/campobello-gramling_home .aspx,Jeremy Darby,47,,35.1019013,-82.14538350325526
Spartanburg School District One,Spartanburg 01,4201999,O.P. Earle Elementary,4201007,E,100 Redland Road,Landrum,SC,29356,PK-5,380,864-457-3416,spart1.org/ope,Brian E. Murray,31,,35.176966750000005,-82.1745702537212
Spartanburg School District One,Spartanburg 01,4201999,Holly Springs-Motlow Elementary,4201009,E,325 Motlow School Road,Campobello,SC,29322,PK-6,408,864-472-8120,www.spart1.org/hsm,Erika Center,30,,35.05156515,-82.18897640222174
Spartanburg School District One,Spartanburg 01,4201999,New Prospect Elementary,4201011,E,9251  Hwy 9,Inman,SC,29349,PK-6,371,864-592-1970,www.spart1.org/npe,Shameka C. Dawkins,27,,35.12826805,-82.04569390854257
Spartanburg School District One,Spartanburg 01,4201999,Landrum Middle School,4201087,M,104 Redland Rd.,Landrum,SC,29356,6-8,214,864-457-2629,https://www.spart1.org/landrummiddle_home.aspx,Tucker Hamrick,19,,35.1760022,-82.17242199188928
Spartanburg School District One,Spartanburg 01,4201999,Inman Intermediate School,4201088,E,10 West Miller Street,Inman,SC,29349,4-6,354,864-472-1510,https://www.spart1.org/inmanintermediate_home.aspx,Karen Bush,25,,35.05149555,-82.098603234472
Spartanburg School District Two,Spartanburg 02,4202999,Boiling Springs High School,4202012,H,2251 Old Furnace Road,Boiling Springs,SC,29316,9-12,2481,864-578-8465,https://bsh.spart2.org/,Chuck Gordon,124,,35.04822085,-81.97254446197644
Spartanburg School District Two,Spartanburg 02,4202999,Chesnee High School,4202013,H,795 South Alabama Ave.,Chesnee,SC,29323,9-12,699,864-461-7318,https://chs.spart2.org/,Angela J. Ramsey,44,,35.1330513,-81.86102705609267
Spartanburg School District Two,Spartanburg 02,4202999,Boiling Springs Middle School,4202014,M,4801 HWY 9 ,Inman,SC,29349,6-8,1171,864-578-5954,www.bsm.spart2.org,Andy Rogers,73,,35.0651481,-82.00702954233233
Spartanburg School District Two,Spartanburg 02,4202999,Boiling Springs Elementary School,4202015,E,700 Double Bridge Rd,Boiling Springs,SC,29316,PK-4,767,864-578-1231,https://bse.spart2.org/,Michelle Kimbrell,49,,35.038049599999994,-81.98373613628365
Spartanburg School District Two,Spartanburg 02,4202999,Chesnee Elementary School,4202018,E,985 Fairfield Rd.,Chesnee,SC,29323,PK-5,562,864-461-7322,www.ces.spart2.org,Kristen Senn,39,,35.145709100000005,-81.87580869450795
Spartanburg School District Two,Spartanburg 02,4202999,Cooley Springs-Fingerville Elementary School,4202019,E,140 Cooley Springs School Road,Chesnee,SC,29323,PK-5,300,864-592-1211,https://csf.spart2.org/,Stephanie Blanton,22,,35.1503813,-81.97577625145755
Spartanburg School District Two,Spartanburg 02,4202999,James H Hendrix Elementary School,4202020,E,1084 Springfield Road,Boiling Springs,SC,29316,PK-4,624,864-216-4000,https://hes.spart2.org,Mrs. Tina Humphries,40,,no_result,no_result
Spartanburg School District Two,Spartanburg 02,4202999,Mayo Elementary School,4202023,E,1300 Springdale Road,Mayo,SC,29368,PK-5,303,864-461-2622,mes.spart2.org,Cassandra Davis,18,,35.084498,-81.852594
Spartanburg School District Two,Spartanburg 02,4202999,Boiling Springs Intermediate School,4202024,E,2055 Hanging Rock Road,Boiling Springs,SC,29316,5,583,864-578-2884,bsi.spart2.org,Amanda Ehlich,37,,35.05033495,-82.017317904794
Spartanburg School District Two,Spartanburg 02,4202999,Chesnee Middle School,4202086,M,805 South Alabama Avenue,Chesnee,SC,29372,6-8,542,864-461-3900,https://cms.spart2.org,Rob Hayes,33,,35.13638143138858,-81.8619618216361
Spartanburg School District Two,Spartanburg 02,4202999,Carlisle-Foster's Grove Elementary,4202087,E,625 Foster's Grove Rd.,Chesnee,SC,29323,PK-4,437,864-578-2215,https://cfg.spart2.org/,Cathy Garner,26,,no_result,no_result
Spartanburg School District Two,Spartanburg 02,4202999,Oakland Elementary,4202088,E,151 Mud Creek Rd.,Inman,SC,29349,PK-4,608,864-814-3870,https://oes.spart2.org/,Lora McKillop,38,,35.06836065,-82.00629534766128
Spartanburg School District Two,Spartanburg 02,4202999,Rainbow Lake Middle School,4202089,M,1951 River Oak Road,Chesnee,SC,29323,6-8,755,864-253-5700,https://rlm.spart2.org/,Trenton Hardee,46,,no_result,no_result
Spartanburg School District Two,Spartanburg 02,4202999,Shoally Creek Elementary,4202090,E,3777 Parris Bridge Road,Boiling Springs,SC,29316,PK-4,627,864-594-3200,https://sce.spart2.org/,Laura Meyer,40,,35.02801865,-81.95355015511765
Spartanburg School District Three,Spartanburg 03,4203999,Cowpens Middle School,4203025,M,150 Foster St,Cowpens,SC,29330,6-8,418,8642796400,https://www.spartanburg3.org/cowpensmiddle_home .aspx,Max Deaton,29,,35.0213835,-81.8063804507074
Spartanburg School District Three,Spartanburg 03,4203999,Broome High School,4203026,H,381 Cherry Hill Road ,"Spartanburg, SC",SC,29307,9-12,841,864-279-6700,https://broome.spartanburg3.org/gettysdbroomehigh _home.aspx,Rodney Graves,45,,34.986497799999995,-81.8442999543137
Spartanburg School District Three,Spartanburg 03,4203999,Middle School Of Pacolet,4203027,M,850 Sunny Acres Road,Pacolet,SC,29372,6-8,235,864-279-6600,https://www.spartanburg3.org/middleschool of pacolet_home.aspx,Jean B. Brewington,18,,34.9151523,-81.75787157832983
Spartanburg School District Three,Spartanburg 03,4203999,Cannons Elementary School,4203028,E,1315 Old Converse Road,Spartanburg,SC,29307,PK-5,312,864-279-6100,www.cannonselementary.com,Elizabeth Phillips,28,,35.011264499999996,-81.8632195564413
Spartanburg School District Three,Spartanburg 03,4203999,Cowpens Elementary School,4203030,E,341 Foster Street,Cowpens,SC,29330,PK-5,416,8642796300,spartanburg3.org/cowpenselementary,Cindy H. Snead,31,,35.02628765,-81.81847278642556
Spartanburg School District Three,Spartanburg 03,4203999,Pacolet Elementary School,4203034,E,150 McDowell Street,Pacolet,SC,29372,PK-5,407,864-279-6500,https://www.spartanburg3.org/pacoletelementary _home.aspx,Allison Berry,34,,34.9039086,-81.76727004159494
Spartanburg School District Four,Spartanburg 04,4204999,Woodruff Middle School,4204035,M,205 SJ Workman Hwy,Woodruff,SC,29388,6-8,642,8644763150,wms.spartanburg4.org,Donald Scott Lawson,42,,no_result,no_result
Spartanburg School District Four,Spartanburg 04,4204999,Woodruff High School,4204036,H,"710 Cross Anchor Road Woodruff SC, 29388","710 Cross Anchor Road Woodruff SC, 29388",SC,29388,9-12,778,864-416-7045,https://whs.spartanburg4.org,Dr. Aaron D. Fulmer,42,,no_result,no_result
Spartanburg School District Four,Spartanburg 04,4204999,Woodruff Elementary School,4204042,E,915 Cross Anchor Hwy,Woodruff,SC,29388,3-5,613,8644763123,https://wes.spartanburg4.org,Ann Hodge,40,,no_result,no_result
Spartanburg School District 5,Spartanburg 05,4205999,James F. Byrnes High School,4205043,H,150 East Main Street,Duncan,SC,29334,9-12,2599,864-949-2355,www.spart5.net/bhs,Todd Hardy,146,,34.93341545,-82.1284872962222
Spartanburg School District 5,Spartanburg 05,4205999,D. R. Hill Middle School,4205045,M,1303 HOLLY SPRING ROAD,LYMAN,SC,29365,7-8,666,864-949-2370,http://spart5.net/Domain/516,TERRY GLASGOW,49,,no_result,no_result
Spartanburg School District 5,Spartanburg 05,4205999,Duncan Elementary School Of The Arts,4205046,E,100 S. Danzler Rd.,Duncan,SC,29334,PK-4,616,864-949-2424,http://spart5.net/Domain/163,Susan B. Hill,52,,34.930499600000005,-82.12775200538988
Spartanburg School District 5,Spartanburg 05,4205999,Reidville Elementary School,4205049,E,520 Main Street,Reidville,SC,29375,PK-4,462,864-949-2388,spart5.net/rves,Phillip Dean,35,,34.86063505,-82.10677409776534
Spartanburg School District 5,Spartanburg 05,4205999,Wellford Academy Of Science And Technology,4205052,E,684 Syphrit Rd,Wellford,SC,29385,PK-4,448,864-949-2385,https://www.spart5.net/wes,Angela Showalter,43,,34.95065985,-82.09302876344891
Spartanburg School District 5,Spartanburg 05,4205999,Beech Springs Intermediate School,4205089,E,200 S. Danzler Road,Duncan,SC,29334,5-6,653,864-949-7600,https://www.spart5.net/Domain/425,Taylor Deal,58,,34.9252753,-82.1311077569533
Spartanburg School District 5,Spartanburg 05,4205999,River Ridge Elementary School,4205090,E,5960 Reidville Road,MOORE,SC,29369,PK-4,765,864-949-7620,www.spart5.net//rres,Dr. Glenda P. Bigby,55,,34.8845272,-82.07094949687485
Spartanburg School District 5,Spartanburg 05,4205999,Berry Shoals Intermediate School,4205091,E,300 Shoals Road,Duncan,SC,29334,5-6,716,864-949-2300,www.spart5.net/brsh,Michael A. Powell,50,,34.8995726,-82.0744429273589
Spartanburg School District 5,Spartanburg 05,4205999,Florence Chapel Middle,4205092,M,290 Shoals Road,Duncan,SC,29334,7-8,771,864-949-2310,http://spart5.net/Domain/567,Christopher E. McCants,52,,34.8983084,-82.07258102314049
Spartanburg School District 5,Spartanburg 05,4205999,Abner Creek Academy,4205094,E,2050 Abner Creek Rd,Duncan,SC,29334,PK-4,615,8649492334,https://www.spart5.net/aca,Shayne Daugherty,49,,34.869194199999995,-82.16347417139389
Spartanburg School District 5,Spartanburg 05,4205999,Lyman Elementary School,4205095,E,1221 Holly Springs Road,Lyman,SC,29365,PK-4,717,864-949-2330,www.spart5.net/les,Dr. Tim Henson,54,,34.976205699999994,-82.16357564187399
Spartanburg County School District Six,Spartanburg 06,4206999,Dorman High School,4206053,H,1050 Cavalier Way,Roebuck,SC,29376,9-12,3589,8645284347,DHS.spart6.org,Bryant Roberson,192,,34.84921355,-81.97144414394917
Spartanburg County School District Six,Spartanburg 06,4206999,Fairforest Middle School,4206054,M,150 Lincoln School Road,Spartanburg,SC,29301,6-8,1049,864-576-1270,http://fms.spart6.org/,Darrell Belgrave,68,,34.94993355,-82.01280231978797
Spartanburg County School District Six,Spartanburg 06,4206999,L. E. Gable Middle School,4206056,M,198 Otts Shoals Road,Roebuck,SC,29376,6-8,819,864-576-3500,http://gms.spart6.org/,Mr. Matthew H. Talley,56,,34.8556399,-81.94585108003876
Spartanburg County School District Six,Spartanburg 06,4206999,Arcadia Elementary,4206057,E,375 Spring Street,Spartanburg,SC,29301,PK-5,627,864-576-1371,https://aes.spart6.org/,Jay Seegars,53,,34.964107141727304,-81.9895043797162
Spartanburg County School District Six,Spartanburg 06,4206999,Fairforest Elementary School,4206058,E,1005 Mt Zion Road,Spartanburg,SC,29303,PK-5,714,864-439-5000,https://fes.spart6.org/,Kerrie Kish,48,,34.9817666,-82.0617875490904
Spartanburg County School District Six,Spartanburg 06,4206999,R.P. Dawkins Middle School,4206060,M,1300 E Blackstock Rd,Moore,SC,29369,6-8,938,864-576-8088,dms.spart6.org,Justin Funderburk,61,,34.90223505,-81.97532359958471
Spartanburg County School District Six,Spartanburg 06,4206999,Lone Oak Elementary School,4206061,E,7314 Lone Oak Road,Spartanburg,SC,29303,K-5,305,8645039088,https://loes.spart6.org/,Keith Burton,26,,34.9892009,-81.97184005310177
Spartanburg County School District Six,Spartanburg 06,4206999,Pauline-Glenn Springs Elementary School,4206062,E,2957 Highway 56,Pauline,SC,29374,PK-5,433,864-583-1868,https://pgs.spart6.org/,Jennifer Million,30,,34.83213515,-81.86987457487416
Spartanburg County School District Six,Spartanburg 06,4206999,Jesse S. Bobo Elementary School,4206065,E,495 Powell Mill Road,Spartanburg,SC,29301,PK-5,396,864-576-2085,www.spart6.org,Catherine Pogue,33,,34.9475314,-81.98131431784586
Spartanburg County School District Six,Spartanburg 06,4206999,West View Elementary School,4206066,E,400 Oak Grove Road ,Spartanburg,SC,29301,PK-5,647,864-576-1833,https://wves.spart6.org/,Amy Faulkner,54,,34.92623945,-82.00274010414921
Spartanburg County School District Six,Spartanburg 06,4206999,Woodland Heights Elementary School,4206067,E,1216 John B. White Sr. Blvd.,Spartanburg,SC,29306,PK-5,363,864-576-0506,https://whes.spart6.org,Mrs. Julie Brown,30,,34.929782200000005,-81.96376844146923
Spartanburg County School District Six,Spartanburg 06,4206999,Roebuck Elementary School,4206086,E,2401 East Blackstock Road,Roebuck,SC,29376,PK-5,800,864-576-6151,https://res.spart6.org/,Dr. Jennifer H. Faulkner,58,,34.872083,-81.959662
Spartanburg County School District Six,Spartanburg 06,4206999,Anderson Mill Elementary School,4206088,E,1845 Old Georgia Road,Moore,SC,29369,PK-5,574,864-576-6539,spart6.org,Rebecca K. Foster,46,,no_result,no_result
Spartanburg School District Seven,Spartanburg 07,4207999,Carver Middle School,4207068,M,467 South Church Street,Spartanburg,SC,29306,6-8,625,864-594-4435,spartanburgschooldistrict7.org ,Nicole Thompson,51,,34.93958977342626,-81.92792359779584
Spartanburg School District Seven,Spartanburg 07,4207999,Jg Mccracken Middle School,4207071,M,50 Emory Road,Spartanburg,SC,29307,6-8,815,864-594-4457,mccracken.spartanburg7.org,Margaret Peach,61,,34.95624695,-81.89736327654045
Spartanburg School District Seven,Spartanburg 07,4207999,Spartanburg High School,4207073,H,2250 East Main St.,Spartanburg,SC,29307,9-12,2029,864-594-4410,https://sc02205954.schoolwires.net/Page/33,Vance Jones,128,,34.97941975,-81.87963881138224
Spartanburg School District Seven,Spartanburg 07,4207999,Jesse W. Boyd Elementary School,4207074,E,1505 Fernwood-Glendale Road,Spartanburg,SC,29307,K-5,434,864-594-4430,boyd.spartanburg7.org,Jonathan Duvall,37,,34.957513899999995,-81.8772674728732
Spartanburg School District Seven,Spartanburg 07,4207999,Ep Todd School,4207075,E,150 Old Canaan Rd,Spartanburg,SC,29306,PK-8,742,8645944475,https://www.spartanburg7.org/Domain/14,Victoria Bradley,58,,34.9112266,-81.90327955894858
Spartanburg School District Seven,Spartanburg 07,4207999,The Cleveland Academy Of Leadership,4207077,E,151 Franklin Street,Spartanburg,SC,29303,PK-5,411,8645944444,https://www.spartanburg7.org/Cleveland,Marquice Clark,41,,34.95834765,-81.94914841798406
Spartanburg School District Seven,Spartanburg 07,4207999,Pine Street Elementary School,4207082,E,500 S. Pine Street,Spartanburg,SC,29302,K-5,537,864-594-4470,www.pinestreet.spartanburg7.org,Dennis A. Regnier,47,,34.94426325,-81.91051452916923
Spartanburg School District Seven,Spartanburg 07,4207999,Mary H. Wright Elementary School,4207085,E,457 S. Church St,Spartanburg,SC,29306,K-5,430,864-594-4477,https://www.spartanburg7.org/Domain/12,Tammy K. Jordan,33,,34.9384398,-81.92628471188418
Spartanburg School District Seven,Spartanburg 07,4207999,Drayton Mills Elementary School,4207087,E,1500 Skylyn Dr.,Spartanburg,SC,29307,K-5,647,(864) 586-7979,https://www.spartanburg7.org/Domain/11,Thomas Webster,52,,34.9731379,-81.90000990473757
Spartanburg School District Seven,Spartanburg 07,4207999,Meeting Street Academy,4207200,E,201 East Broad Street,SPARTANBURG,SC,29306,PK-6,291,8642531800,https://www.spartanburg7.org/Domain/16,Kyndran Hilton,35,,34.9491567,-81.9282688
Sumter Schools,Sumter 01,4301999,Ebenezer Middle School,4301002,M,3440 Ebenezer Rd.,Sumter,SC,29153,6-8,363,803-469-8571,EMS.Sumterschools.net,Marlene DeWit,20,,34.01676766648603,-80.40123312526626
Sumter Schools,Sumter 01,4301999,Furman Middle,4301003,M,3400 Bethel Church Rd,Sumter,SC,29154,6-8,851,(803) 481-8519,http://fms.sumterschools.net/,Michael Riggins,42,,33.82458,-80.3972833
Sumter Schools,Sumter 01,4301999,Hillcrest Middle School,4301004,M,4355 Peach Orchard Road,Dalzell,SC,29040,6-8,371,8034993341,http://hms.sumterschools.net,Tarsha B. Staggers,20,,no_result,no_result
Sumter Schools,Sumter 01,4301999,Cherryvale Elementary School,4301008,E,1420 Furman Drive,Sumter,SC,29154,PK-5,554,8034948200,http://ces.sumterschools.net,Pamela Davis Rhodes,32,,33.958653103311754,-80.46390028580458
Sumter Schools,Sumter 01,4301999,R.E. Davis College Preparatory Academy,4301010,E,345 Eastern School Road,Sumter,SC,29153,PK-8,385,803-495-3247,https://sites.google.com/sumterschools.net/redcpa /home,Anita L. Hunter,31,,33.90627455405406,-80.21262467567568
Sumter Schools,Sumter 01,4301999,High Hills Elementary School,4301012,E,1705 Frierson Rd,SAFB,SC,29152,4-5,414,803-499-3327,http://hhes.sumterschools.net,Mary Kay Norton,21,,no_result,no_result
Sumter Schools,Sumter 01,4301999,Manchester Elementary School,4301014,E,200 West Clark Street,"Pinewood., SC",SC,29125,PK-5,382,803-452-5454,MES.sumterschools.net,Dr. Joan Tye,25,,33.741137,-80.465267
Sumter Schools,Sumter 01,4301999,Rafting Creek Elementary School,4301017,E,4100 SC-261,Rembert,SC,29128,PK-5,124,(803) 432-2994,https://rces.sumterschools.net/,Jennifer Howard,11,,no_result,no_result
Sumter Schools,Sumter 01,4301999,Alice Drive Middle School,4301021,M,40 Miller Road,Sumter,SC,29150,6-8,941,8037750821,http://adm.sumterschools.net/ ,Jeannie Pressley,46,,33.93170262242002,-80.37802055761175
Sumter Schools,Sumter 01,4301999,Bates Middle,4301022,M,1150 Fallingwater Lane,1150 Fallingwater Lane,SC,0,6-8,657,8035062299,www.bms.sumterschools.net,Dr. Ayesha Hunter,38,,no_result,no_result
Sumter Schools,Sumter 01,4301999,Sumter High School,4301024,H,2580 McCray's Mill Road,Sumter,SC,29154,9-12,2318,8034814480,shs.sumterschools.net,Nicholas Pearson,114,,no_result,no_result
Sumter Schools,Sumter 01,4301999,Alice Drive Elementary,4301026,E,251 Alice Dr,Sumter,SC,29150,PK-5,643,803-775-0857,http://ade.sumterschools.net/,Suzanna Foley,41,,33.931298955882355,-80.38033345588235
Sumter Schools,Sumter 01,4301999,Crosswell Drive Elementary,4301029,E,301 Crosswell Drive,Sumter,SC,29150,PK-5,538,803-775-0679,http://cde.sumterschools.net/,Shawn Hagerty,33,,33.93233431222502,-80.3372781518257
Sumter Schools,Sumter 01,4301999,Lemira Elementary School,4301031,E,952 Fulton Street,Sumter,SC,29153,PK-5,434,803-775-0658,lme.sumterschools.net,Dr. Vanessa Smith-Canty,27,,33.91218299687883,-80.32570227770138
Sumter Schools,Sumter 01,4301999,Millwood Elementary School,4301033,E,24 Pinewood Road,Sumter,SC,29150,PK-5,712,803-775-0648,http://mwe.sumterschools.net/,"Cornelius B. Leach, EdD",43,,33.913733,-80.383423
Sumter Schools,Sumter 01,4301999,Wilder,4301038,E,975 S Main Street,975 S Main Street,SC,29150,PK-5,398,803-968-5503,http://wld.sumterschools.net/,David Wright,34,,no_result,no_result
Sumter Schools,Sumter 01,4301999,Willow Drive Elementary,4301039,E,26 Willow Drive,Sumter,SC,29150,PK-5,582,8037735796,wde.sumterschools.net,Preston Spratt,37,,33.93675137946579,-80.36027270115356
Sumter Schools,Sumter 01,4301999,Pocalla Springs Elementary School,4301040,E,2060 Bethel Church Road,Sumter,SC,29154,PK-5,656,803-481-5800,pses.sumterschools.net,Michelle Curry-McBride,46,,33.82458,-80.3972833
Sumter Schools,Sumter 01,4301999,Kingsbury Elementary School,4301041,E,825 Kingsbury Road,sumter,SC,29154,PK-5,697,803-775-6244,http://kbe.sumterschools.net,Phillip W. Jackson,42,,no_result,no_result
Sumter Schools,Sumter 01,4301999,Crestwood High School,4301042,H,2000 Oswego Road,Sumter,SC,29153,9-12,1078,8034696200,https://chs.sumterschools.net,Anthonese K. Gamble,55,,no_result,no_result
